timestamp,funds_reserved,funds_disbursed,rebate_avail
2021-07-24 17:10:20,13754002,145193852,6918662
2021-07-24 17:11:33,13754002,145193852,6918662
2021-07-24 17:14:03,13757002,145193852,6915662
2021-07-24 17:18:14,13757002,145193852,6915662
2021-07-24 17:23:20,13763002,145193852,6909662
2021-07-24 17:28:22,13775002,145193852,6897662
2021-07-24 17:30:49,13781002,145193852,6891662
2021-07-25 00:55:51,13796002,145193852,6876662
2021-07-25 01:06:03,13803502,145193852,6869162
2021-07-25 01:10:56,13806502,145193852,6866162
2021-07-25 04:33:59,13818502,145193852,6854162
2021-07-25 16:41:51,13818502,145193852,6854162
2021-07-26 04:35:14,14016502,145193852,6656162
2021-07-26 16:44:02,14025502,145193852,6647162
2021-07-27 04:32:29,14141002,145193852,6531662
2021-07-27 16:42:42,14142502,145193852,6530162
2021-07-28 04:35:06,14270002,145193852,6402662
2021-07-28 16:44:50,14276002,145193852,6396662
2021-07-29 04:35:22,14409502,145193852,6263162
2021-07-29 16:43:57,14412502,145193852,6260162
2021-07-30 04:34:57,14514502,145193852,6158162
